Oración original,Label original,Puntaje Positivo,Puntaje Negativo,Resultado de inferencia,Sentimiento clasificado,Tiempo de ejecución
loovvee my kindle not that the dx is cool but the is fantastic in its own right,1,2.0,1.0,5.342800918917953,Neutral,0.003019571304321289
reading my kindle love it lee childs is good read,1,2.0,0.0,5.789858805013037,Neutral,0.0020012855529785156
ok first assesment of the kindle it fucking rocks,1,1.0,0.0,5.192645703019734,Neutral,0.001997232437133789
you ll love your kindle ve had mine for few months and never looked back the new big one is huge no need for remorse,1,2.0,2.0,4.67637533053079,Neutral,0.003000497817993164
fair enough but have the kindle and think it perfect,1,2.0,0.0,5.789858805013037,Neutral,0.0
no it is too big quite happy with the kindle,1,1.0,1.0,4.831529388442859,Neutral,0.0020227432250976562
fuck this economy hate aig and their non loan given asses,0,0.0,2.0,3.2745098039215668,Negative,0.05011439323425293
jquery is my new best friend,1,2.0,0.0,5.789858805013037,Neutral,0.0
loves twitter,1,1.0,0.0,5.192645703019734,Neutral,0.0
how can you not love obama he makes jokes about himself,1,2.0,0.0,5.789858805013037,Neutral,0.0
firmly believe that obama pelosi have zero desire to be civil it charade and slogan but they want to destroy conservatism,0,2.0,1.0,5.342800918917953,Neutral,0.0
house correspondents dinner was last night whoopi barbara amp sherri went obama got standing ovation,1,0.0,0.0,5.0,Neutral,0.001995563507080078
watchin espn jus seen this new nike commerical with puppet lebron sh was hilarious lmao,1,2.0,0.0,5.789858805013037,Neutral,0.0
dear nike stop with the flywire that shit is waste of science and ugly love,0,2.0,4.0,4.167147667147665,Neutral,0.0019998550415039062
lebron best athlete of our generation if not all time basketball related don want to get into inter sport debates about,1,2.0,0.0,5.789858805013037,Neutral,0.0
was talking to this guy last night and he was telling me that he is die hard spurs fan he also told me that he hates lebron james,0,1.0,3.0,3.6953609847862205,Neutral,0.0019998550415039062
love lebron,1,1.0,0.0,5.192645703019734,Neutral,0.0
lebron is beast but still cheering the til the end,0,1.0,0.0,5.192645703019734,Neutral,0.0010004043579101562
lebron is the boss,1,0.0,0.0,5.0,Neutral,0.0
lebron is hometown hero to me lol love the lakers but let go cavs lol,1,4.0,0.0,8.303571428571429,Positive,0.002017498016357422
lebron and zydrunas are such an awesome duo,1,1.0,0.0,5.192645703019734,Neutral,0.0
lebron is beast nobody in the nba comes even close,1,0.0,0.0,5.0,Neutral,0.0
downloading apps for my iphone so much fun there literally is an app for just about anything,1,1.0,0.0,5.192645703019734,Neutral,0.0
good news just had call from the visa office saying everything is fine what relief am sick of scams out there stealing,1,3.0,3.0,4.904761904761906,Neutral,0.0020003318786621094
awesome come back from via,1,1.0,0.0,5.192645703019734,Neutral,0.0
in montreal for long weekend of amp much needed,1,0.0,0.0,5.0,Neutral,0.0
booz allen hamilton has bad ass homegrown social collaboration platform way cool ttiv,1,1.0,2.0,3.8514860466357166,Neutral,0.002511262893676758
mluc customer innovation award winner booz allen hamilton,1,3.0,0.0,7.0736810187992765,Positive,0.0025017261505126953
current use the nikon and love it but not as much as the canon chose the for the video feature my mistake,1,1.0,1.0,4.831529388442859,Neutral,0.0
